Name;id;brewery_id;cat_id;style_id;Alcohol By Volume;International Bitterness Units;Standard Reference Method;Universal Product Code;filepath;Description;add_user;last_mod;Style;Category;Brewer;Address;City;State;Country;Coordinates;Website
Porter;716;842;2;25;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Porter;Irish Ale;McMenamins Mill Creek;13300 Bothell-Everett Highway #304;Mill Creek;Washington;United States;47.8774,-122.211;
Possession Porter;723;445;2;25;5.5999999046;0;0;0;;;0;2010-07-22T16:00:00-04:00;Porter;Irish Ale;Diamond Knot Brewery & Alehouse;621 Front Street;Mukilteo;Washington;United States;47.9485,-122.305;http://www.diamondknot.com/
Maibock;736;1124;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Scuttlebutt Brewing;1524 West Marine View Drive;Everett;Washington;United States;47.9975,-122.214;
Free Bike Amber;742;1151;3;33;4.5;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Amber/Red Ale;North American Ale;Skagit River Brewing;404 South Third Street;Mount Vernon;Washington;United States;48.4192,-122.335;
Oatmeal Stout;961;691;3;42;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Stout;North American Ale;Independence Brew Pub;1150 Filbert Street;Philadelphia;Pennsylvania;United States;39.9526,-75.1594;http://www.independencebrewpub.com/
Original Pils;2005;667;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Hofmark Brauerei;Hofmarkstrae 15;Cham;Bayern;Germany;49.1672,12.6399;
Iris 1996;2390;202;5;70;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Belgian-Style Fruit Lambic;Belgian and French Ale;Brasserie-Brouwerij Cantillon;Gheudestraat 56;Anderlecht;Brussel;Belgium;50.8416,4.3355;http://www.cantillon.be/
Old Elephant Foot IPA;2404;1234;3;31;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style India Pale Ale;North American Ale;Tampa Bay Brewing;1812 North 15th Street;Tampa;Florida;United States;27.9607,-82.4433;
IPA;2408;387;3;31;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style India Pale Ale;North American Ale;Coach's Norman;102 West Main;Norman;Oklahoma;United States;35.2205,-97.4439;
Pacific Pale;2423;1106;3;26;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Santa Barbara Brewing;501 State Street;Santa Barbara;California;United States;34.4166,-119.696;
Black Chip Porter;2436;818;2;25;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Porter;Irish Ale;Main Street Station Casino, Brewery and Hotel;200 North Main Street;Las Vegas;Nevada;United States;36.1755,-115.145;
Hop Daddy IPA;2437;816;3;31;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style India Pale Ale;North American Ale;Main Street Brewery;300 North Main Street;Corona;California;United States;33.8835,-117.565;
Plank Road Pale Ale;2590;830;3;26;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Pale Ale;North American Ale;Marquette Harbor Brewery and Restaurant;119 South Front Street;Marquette;Michigan;United States;46.5431,-87.3929;
Lodestone Lager;1009;700;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Iron Hill Brewery - Wilmingon;620 South Madison Street;Wilmington;Delaware;United States;39.745,-75.5561;http://www.ironhillbrewery.com/
Bock;1026;521;7;90;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;Traditional German-Style Bock;German Lager;Firehouse Brewery & Restaurant;;Red Oak;Iowa;United States;41.0117,-95.2272;
Big Hoppy Monster;1148;1243;3;33;8.75;0;0;0;;This mammoth imperial red ale leads with a tantalizing hop aroma that is quickly complemented by an enormous malt backbone & finished with a multitude of hoppy goodness.;0;2010-07-22T16:00:00-04:00;American-Style Amber/Red Ale;North American Ale;Terrapin Beer Company;196 Alps Road;Athens;Georgia;United States;33.9459,-83.4105;http://www.terrapinbeer.com/
Paddle Me IPA;1304;1143;3;31;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style India Pale Ale;North American Ale;Siletz Roadhouse & Brewery;243 North Gaither Street;Siletz;Oregon;United States;44.722,-123.918;
Holiday Spice Lager Beer;1367;769;-1;-1;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;;;Lakefront Brewery;1872 North Commerce Street;Milwaukee;Wisconsin;United States;43.0547,-87.9053;http://www.lakefrontbrewery.com/index.html
Asahi Super Dry;4396;50;8;95;0.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;American-Style Lager;North American Lager;Asahi Breweries;23-1 Azumabashi 1-chome;Tokyo;Kanto;Japan;;
Aprihop;4665;459;11;121;7.0;0;0;0;;"Brewed with luscious apricots, finished with whole-leaf hops. A ""fruit beer for hop heads..."" Ale Street News";0;2010-07-22T16:00:00-04:00;Fruit Beer;Other Style;Dogfish Head Craft Brewery;6 Cannery Village Center;Milton;Delaware;United States;38.7683,-75.3107;http://www.dogfish.com
Old Chub;4743;956;1;15;8.0;0;0;0;;"Old Chub is a Scottish strong ale brewed with hearty amounts of seven different malts, including crystal and chocolate malts, and a smidge of US and UK hops. Old Chub also gets a dash of beechwood-smoked grains imported from Bamburg, Germany, home of the world's greatest smoked beers. Old Chub is 8% alcohol by volume.  While Dale's satisfies our hop addiction, Old Chub takes care of our deep affections for malt.  The cola-colored beer (almost black) features a tan head, a creamy, skim-milk mouthfeel, and rich, semi-sweet flavors of caramel and chocolate throughout. The addition of smoked grains gives Old Chub a delicate kiss of smoke on the finish.  Old Chub is the beer equivalent of a lightly smoked single malt scotch, or your favorite dark chocolate. We call it Rocky Mountain Mutha's Milk. People who tell us defiantly, ""I don't drink dark beer,"" often fall deeply in love with Old Chub. We can't blame them.";0;2010-07-22T16:00:00-04:00;Scotch Ale;British Ale;Oskar Blues Grill and Brew;303 Main Street;Lyons;Colorado;United States;40.2246,-105.268;http://www.oskarblues.com/
Smooth Hoperator;5223;1211;7;92;7.0;0;0;0;;;0;2010-07-22T16:00:00-04:00;German-Style Doppelbock;German Lager;Stoudt's Brewery;2800 North Reading Road;Adamstown;Pennsylvania;United States;40.2369,-76.072;http://www.stoudtsbeer.com/brewery.html
Saint Arnold Amber Ale;5321;1091;3;33;5.5;0;0;0;;"A well balanced, full flavored, amber ale. It has a rich, malty body with a pleasant caramel character derived from a specialty Caravienne malt. A complex hop aroma, with a hint of floral and citrus comes from a combination of Cascades and Liberty hops. It has a rich, creamy head with a fine lace. The light fruitiness, characteristic of ales, is derived from a proprietary yeast strain. 


Saint Arnold Amber Ale is best consumed at 50 - 55Â° Fahrenheit.";0;2010-07-22T16:00:00-04:00;American-Style Amber/Red Ale;North American Ale;Saint Arnold Brewing;2522 Fairway Park Drive;Houston;Texas;United States;29.8123,-95.4675;http://www.saintarnold.com
